Gene ID,Gene Name,accessory axillary lymph node,adrenal gland,aorta,bone (os femoris),cecum,cerebellum,cerebral cortex,colon,corpora quadrigemina,corpus striatum,diencephalon,epididymis,eyeball,hippocampus,intestinal mucosa,intestine,lung,medulla oblongata,olfactory brain,ovary,pancreas,pituitary gland,prostate,skin,spinal cord,spleen,stomach,submandibular gland,testis,thymus,tongue,urinary bladder,uterus,vagina,vesicular gland
ENSMUSG00000000003,Pbsn,,,,,,,,,,,,,,,,,,,,,,0.7,87851,,,6,1,0.6,,,,374,,,12754
ENSMUSG00000000028,Cdc45,2,,,10,,,,1,,,,,,,,2,,0.6,,1,,0.7,,1,0.6,10,2,1,14,9,,,1,0.9,0.5
ENSMUSG00000000037,Scml2,0.5,0.7,0.6,,2,,0.7,,0.9,0.5,,0.8,0.8,1,,,,0.8,1,2,,0.7,,5,1,2,,0.6,,1,2,,2,0.6,
ENSMUSG00000000049,Apoh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,
ENSMUSG00000000056,Narf,20,6,12,52,19,31,25,27,24,30,19,13,25,23,28,16,11,21,17,9,29,9,17,16,20,60,19,12,3,35,26,15,12,16,13
ENSMUSG00000000058,Cav2,1,3,5,2,,,4,1,3,3,3,2,0.8,2,,,6,2,3,2,1,3,8,1,2,,1,2,,,1,4,1,1,6
ENSMUSG00000000078,Klf6,6,2,4,3,13,2,2,1,2,1,2,2,0.8,2,3,3,5,1,2,2,,3,2,5,1,2,5,3,0.6,0.9,2,2,1,2,4
ENSMUSG00000000085,Scmh1,0.8,1,1,0.9,2,2,1,1,1,0.9,1,4,2,2,,,2,1,2,4,3,2,3,2,1,1,6,4,19,2,3,4,9,2,5
ENSMUSG00000000088,Cox5a,31,49,283,81,234,75,105,194,115,93,121,59,58,83,268,207,39,155,93,37,48,20,60,47,136,54,276,111,315,61,246,46,56,61,33
ENSMUSG00000000094,Tbx4,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,1,,,
ENSMUSG00000000103,Zfy2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,
ENSMUSG00000000126,Wnt9a,,1,3,0.9,,,3,,,,2,4,2,2,,,3,0.5,0.6,4,4,3,0.9,2,0.7,,1,0.6,,,5,6,7,5,
ENSMUSG00000000127,Fer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,
ENSMUSG00000000131,Xpo6,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,12,0.6,,,,,
ENSMUSG00000000134,Tfe3,2,0.9,,0.9,2,,,,,0.9,0.6,1,,0.6,0.7,,1,,0.6,2,,1,,0.8,,1,,0.6,0.6,,0.9,,0.5,0.6,1
ENSMUSG00000000142,Axin2,0.5,1,,,,,1,0.8,,0.9,,1,,0.8,0.7,1,0.6,,0.6,0.7,,0.7,,1,,,,,,,0.9,,1,0.6,1
ENSMUSG00000000148,Brat1,11,9,5,10,,8,10,5,11,8,9,7,8,10,4,4,7,9,12,10,8,15,7,5,9,8,6,12,11,17,6,9,6,8,13
ENSMUSG00000000149,Gna12,4,8,5,7,,3,5,2,7,5,9,2,2,6,2,1,3,11,3,6,4,4,3,2,15,2,2,2,3,2,2,3,3,2,9
ENSMUSG00000000154,Slc22a18,2,6,3,2,93,2,1,106,1,0.9,2,9,29,1,228,58,12,2,1,7,1,2,8,6,2,0.5,76,30,20,2,13,22,10,15,24
ENSMUSG00000000157,Itgb2l,,,,81,,,,,,,,,,,,,0.9,,,,,,,,,15,,,,,,,,,
ENSMUSG00000000159,Igsf5,,,,,2,,,4,,,,4,,,15,6,1,,,0.7,3,,6,,,,26,1,,,,2,1,,5
ENSMUSG00000000167,Pih1d2,1,0.7,0.9,0.9,2,0.6,1,,,0.5,0.6,2,1,0.8,2,1,1,0.6,,0.9,1,1,,0.7,1,,,,14,0.6,0.9,0.8,1,,1
ENSMUSG00000000168,Dlat,,,3,0.9,2,0.6,1,1,1,0.9,2,1,1,1,,1,,1,,,,0.7,,,1,,,1,3,0.6,0.9,,0.7,0.9,0.5
ENSMUSG00000000171,Sdhd,47,83,381,81,214,78,81,329,99,75,86,98,68,82,403,357,66,108,61,71,61,62,91,34,88,74,245,111,98,72,223,83,82,57,77
ENSMUSG00000000182,Fgf23,30,,,0.9,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,
ENSMUSG00000000184,Ccnd2,11,29,6,4,7,1,9,8,2,11,2,3,2,13,3,11,7,2,3,13,19,23,2,25,3,6,2,4,2,7,6,5,2,5,3
ENSMUSG00000000194,Gpr107,55,53,38,40,45,48,38,78,39,40,37,52,50,35,153,89,55,45,38,40,44,58,54,37,40,30,35,57,104,48,45,42,51,48,65
ENSMUSG00000000197,Nalcn,,2,1,,,12,14,,18,15,16,0.5,0.6,12,,,,12,17,0.7,,12,,,11,,,,,,,,,,0.5
ENSMUSG00000000202,Btbd17,,,,,,25,22,,28,23,34,,,12,,,,27,15,,,3,,,23,,,,,,,,,,
ENSMUSG00000000204,Slfn4,10,,3,88,7,,,3,,,,,0.5,,11,7,44,,,,,,,,0.6,28,3,,,1,0.5,0.7,4,16,
ENSMUSG00000000214,Th,,700,4,,,8,2,,7,5,62,,,,,,,10,165,,,4,8,1,3,,1,,,,,10,,,
ENSMUSG00000000216,Scnn1g,,,,,,0.6,,,,,,,,,,,26,,,,,2,,1,,,1,12,,0.6,1,9,,5,0.5
ENSMUSG00000000223,Drp2,,,,,,5,21,,10,12,10,,1,15,,,,11,22,1,,0.9,,,10,,0.5,,0.6,,0.5,,1,1,
ENSMUSG00000000244,Tspan32,3,,,5,,,,,,,,,,,,,0.9,,,,,,,,,5,,,,1,,,,,
ENSMUSG00000000247,Lhx2,,,,,,,1,,1,0.7,,,,2,,,,,0.6,,,,,2,,,,,,,,,,,
ENSMUSG00000000248,Clec2g,,,,,,,,,,,,,,,,,,,,,,,,17,,,2,,,,17,,,14,
ENSMUSG00000000253,Gmpr,0.5,1,8,3,2,2,4,0.5,3,3,4,0.5,3,4,,,2,3,0.8,3,,,1,2,5,0.5,5,0.6,0.6,2,12,7,4,0.8,0.8
ENSMUSG00000000263,Glra1,,,,,,,,,5,2,3,,0.6,,,,,37,,,,,,,43,,,,,,,,,,
ENSMUSG00000000266,Mid2,1,0.6,1,,,1,,0.8,1,0.9,0.6,0.5,2,0.8,1,,2,0.6,1,0.9,1,1,0.7,1,0.7,,2,1,,,0.9,0.8,1,0.9,2
ENSMUSG00000000276,Dgke,6,9,7,0.9,9,31,26,2,24,22,23,6,24,22,3,1,9,24,23,6,3,17,3,6,24,3,2,3,3,62,7,7,4,4,3
ENSMUSG00000000282,Mnt,2,,0.5,2,0.9,0.6,0.8,0.9,0.6,0.5,,,0.6,,1,0.8,0.5,0.6,0.6,,0.7,,,,0.8,1,0.5,,,,,0.5,0.9,0.5,
ENSMUSG00000000290,Itgb2,168,47,37,196,15,1,5,28,5,7,4,5,13,5,19,6,110,5,3,14,16,4,6,10,7,149,4,20,0.6,147,10,15,14,17,11
ENSMUSG00000000295,Hddc2,23,22,18,6,13,4,13,11,21,22,20,66,16,14,3,9,12,22,12,22,17,9,17,17,14,14,19,11,11,17,19,12,28,25,29
ENSMUSG00000000296,Tpd52l1,,15,2,0.9,,3,7,2,12,12,15,54,11,10,0.7,0.5,,7,1,10,11,2,40,6,12,,9,30,15,,15,3,9,3,47
ENSMUSG00000000301,Pemt,,2,1,,,,,,,,,7,,,,0.5,,,,0.9,1,,,,,,1,0.6,2,0.6,,,3,,0.5
ENSMUSG00000000305,Cdh4,,2,,,,3,4,,8,3,4,,2,1,,,1,2,10,0.9,,1,,6,2,,1,,,2,,1,1,,1
ENSMUSG00000000308,Ckmt1,,8,,,153,219,388,230,430,310,394,0.8,35,307,229,235,1,665,150,3,29,70,4,11,554,,76,229,,3,12,3,35,44,
ENSMUSG00000000317,Bcl6b,0.6,0.6,1,,,,,,,,,,,,,,2,,0.5,0.6,,,,0.5,,,,,,,,,,,
ENSMUSG00000000320,Alox12,0.8,1,2,29,,,,,,,0.8,17,3,0.6,,,5,,0.6,2,,2,6,7,,17,7,14,2,0.6,10,6,1,23,15
ENSMUSG00000000325,Arvcf,,6,,0.9,2,4,2,2,5,5,5,12,3,3,0.7,1,2,4,9,2,,6,9,2,6,0.7,1,3,0.6,2,1,3,0.7,2,7
ENSMUSG00000000326,Comt,4,5,7,4,2,2,5,4,5,5,6,5,3,5,4,4,5,4,5,4,2,3,10,2,4,3,3,2,,3,3,7,2,3,6
ENSMUSG00000000339,Rtca,9,16,14,10,15,17,25,16,24,27,27,17,6,24,15,13,13,29,16,10,11,12,14,6,30,9,11,12,138,13,8,10,11,7,11
ENSMUSG00000000346,Dazap2,567,239,258,303,201,143,136,294,149,133,146,355,342,155,400,245,351,181,167,204,61,110,228,152,204,211,276,215,315,161,187,258,220,201,247
ENSMUSG00000000355,Mcts1,0.8,4,1,,4,5,2,3,3,0.9,4,1,1,2,5,2,3,4,3,0.9,4,3,2,1,1,0.7,4,4,0.6,0.6,1,2,0.5,2,3
ENSMUSG00000000359,Rem1,1,2,0.6,,,,,,,,,3,,,,,1,,,1,,,,,,,1,0.6,0.6,,1,2,2,1,
ENSMUSG00000000365,Rnf17,2,2,0.6,0.9,,0.6,2,,1,0.9,1,0.5,0.8,2,,,0.7,1,3,3,,1,0.7,1,0.7,0.9,1,,178,,,1,2,0.9,1
ENSMUSG00000000374,Trappc10,22,22,20,39,19,27,37,36,30,34,31,29,35,29,49,39,22,32,27,15,15,17,28,31,41,32,15,32,19,21,24,26,16,18,20
ENSMUSG00000000378,Ccm2,4,,,0.9,,,,,,,,,,,0.7,,1,,,,,,,,,2,,,,3,,,,,
ENSMUSG00000000384,Tbrg4,34,19,46,41,56,31,20,52,25,22,26,19,22,17,44,59,17,23,29,23,33,18,19,25,27,38,48,33,114,22,37,18,32,22,23
ENSMUSG00000000385,Tmprss2,,,,,89,,,127,,,,6,17,,165,101,37,,,7,5,1,292,2,,,130,82,,0.6,3,336,49,25,114
ENSMUSG00000000386,Mx1,26,1,3,6,,1,,,,,,1,,0.6,0.7,3,5,,2,1,1,0.7,,0.8,,4,3,5,,4,0.9,2,14,2,3
ENSMUSG00000000392,Fap,16,1,13,12,,0.6,2,0.5,,,,0.8,7,1,,,,,2,5,3,1,0.7,11,0.9,,,6,,0.9,15,1,9,4,0.5
ENSMUSG00000000394,Gcg,,,,,117,,,75,,0.5,,,,,13,51,,4,,,2133,,,,,,28,0.6,,,,,,,
ENSMUSG00000000399,Ndufa9,11,18,57,34,21,21,27,33,26,25,30,20,18,24,30,28,12,37,20,13,19,12,11,11,35,12,35,23,63,11,64,16,9,12,15
ENSMUSG00000000402,Egfl6,1,3,,2,2,,2,,3,2,2,9,1,1,,,43,5,,8,,,,4,6,,10,,0.6,,10,2,19,8,4
ENSMUSG00000000409,Lck,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,
ENSMUSG00000000411,Tssk3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,
ENSMUSG00000000416,Cttnbp2,0.8,23,0.6,,,14,32,0.5,21,36,25,2,1,58,,0.5,1,12,51,3,3,10,1,12,14,,,12,1,,2,1,3,2,2
ENSMUSG00000000420,Galnt1,3,,,0.9,,,,,,0.5,,3,0.6,,0.7,,1,,,0.7,,0.5,,0.7,0.7,0.9,,,,2,0.6,0.5,1,,0.5
ENSMUSG00000000435,Myf5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,
ENSMUSG00000000439,Mkrn2,7,10,13,4,5,6,5,6,8,7,7,7,8,8,10,5,8,8,4,5,7,10,6,6,7,4,7,9,8,9,14,6,6,6,8
ENSMUSG00000000440,Pparg,,,2,,2,,,,,,,,,,2,0.5,0.7,,0.6,1,,,,0.5,,,2,,,,,1,,,
ENSMUSG00000000441,Raf1,8,8,16,26,32,8,6,13,6,7,6,4,5,5,17,15,11,7,9,15,17,4,7,14,9,11,26,4,6,9,22,10,10,10,4
ENSMUSG00000000486,Sep-01,2,,0.7,,,,,,,,,,,,,,0.7,,,,,,,,,0.9,,,,2,,,,,0.5
ENSMUSG00000000489,Pdgfb,3,13,7,4,3,3,6,4,5,6,4,2,3,5,0.5,2,35,4,8,6,5,5,0.9,3,5,5,6,5,,3,10,3,4,5,2
ENSMUSG00000000530,Acvrl1,0.5,1,1,0.9,2,,,1,,,,0.8,,,,0.8,7,,,2,0.7,1,0.9,3,,0.7,1,0.9,,,0.6,5,3,2,0.5
ENSMUSG00000000531,Grasp,10,48,25,3,15,7,78,8,13,96,15,5,7,77,3,7,66,9,98,37,36,11,6,27,10,4,14,6,5,6,15,13,39,22,6
ENSMUSG00000000532,Acvr1b,16,9,10,13,71,44,62,41,38,48,32,25,34,45,65,33,35,27,42,15,29,17,11,34,22,11,22,19,16,15,27,24,34,33,15
ENSMUSG00000000538,Tom1l2,0.8,,,,,1,4,,1,3,2,,0.6,3,,0.5,,2,2,,,,,0.5,3,,1,1,0.6,0.6,,,,0.6,0.5
ENSMUSG00000000544,Gpa33,,,,,34,,,10,,,,,,,46,7,,,,,,,,,,,3,,,,,3,,,
ENSMUSG00000000552,Zfp385a,4,2,,4,,20,9,,23,13,22,,11,4,,0.5,0.9,14,17,,,7,,24,15,5,6,,,2,12,2,0.7,18,0.5
ENSMUSG00000000555,Itga5,,0.7,2,0.9,4,,,2,,2,,,0.6,,,1,2,,,3,4,,2,0.5,0.6,,2,,,,1,9,3,2,
ENSMUSG00000000560,Gabra2,,,,,,4,8,,6,11,6,,0.6,11,,,,5,10,,,2,,,13,,,,,,,,,,
ENSMUSG00000000561,Wdr77,19,28,28,25,22,25,31,19,33,35,28,25,24,33,4,24,15,29,32,42,32,34,17,18,31,19,16,14,26,19,27,25,46,39,24
ENSMUSG00000000562,Adora3,1,,,,0.9,,0.6,,0.7,1,0.5,,,0.5,,0.5,,0.6,,,,,,0.7,0.6,,,,,,,,,,
ENSMUSG00000000563,Atp5f1,86,90,242,96,104,136,155,223,167,142,195,110,190,164,288,193,86,207,138,83,108,92,144,111,200,118,236,178,152,80,363,116,91,125,116
ENSMUSG00000000567,Sox9,2,6,7,4,60,80,59,58,62,75,67,63,140,72,13,43,1,70,41,28,106,23,128,300,88,,112,139,45,11,28,11,81,19,65
ENSMUSG00000000568,Hnrnpd,77,41,43,110,49,79,59,59,66,69,74,28,46,61,37,68,58,54,80,61,45,60,40,89,58,99,58,44,45,98,51,49,53,51,48
ENSMUSG00000000581,C1d,30,57,43,61,54,43,51,58,67,58,66,75,35,59,70,41,40,70,48,43,21,49,52,31,61,37,66,32,24,63,35,58,43,48,46
ENSMUSG00000000594,Gm2a,138,209,115,68,44,50,50,30,65,47,65,96,47,55,8,15,86,83,40,176,44,59,25,55,104,69,47,57,92,40,55,81,58,32,56
ENSMUSG00000000600,Krit1,38,28,23,29,26,36,26,16,26,38,30,17,24,28,23,12,25,22,34,22,23,31,23,20,27,27,11,14,23,36,20,25,27,20,23
ENSMUSG00000000605,Clcn4,0.9,1,2,,0.9,3,4,0.6,4,3,3,2,0.8,2,0.7,0.7,1,2,4,0.9,,3,1,2,3,0.8,0.5,2,10,0.8,1,0.9,1,1,1
ENSMUSG00000000617,Grm6,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,
ENSMUSG00000000628,Hk2,2,4,42,11,26,2,1,13,1,0.9,1,31,56,0.8,2,5,7,2,1,6,3,5,2,16,3,4,4,18,6,4,77,5,16,27,5
ENSMUSG00000000631,Myo18a,,,,,,,,,,0.9,,,,,,,,,,,,,,5,,,,,,,7,,,0.6,
ENSMUSG00000000632,Sez6,,,,,,0.7,0.5,,1,1,1,,,1,,,,,2,,,0.5,,,,,,,,,,,,,
ENSMUSG00000000682,Cd52,1345,94,60,390,127,1,3,130,3,6,4,5254,21,5,59,29,339,5,2,59,36,13,424,28,14,833,47,158,2,724,14,46,58,58,5662
ENSMUSG00000000686,Abhd15,1,4,14,3,2,,,1,,0.7,,,,0.5,2,1,2,0.7,0.5,2,1,2,,2,1,2,1,2,,3,0.5,1,0.7,,0.5
ENSMUSG00000000690,Hoxb6,,1,,,,,,,,,,5,,,,,,,,,,,,1,0.7,,,,,,,,,,1
ENSMUSG00000000708,Kat2b,0.5,,1,,,0.6,,,,,,,,,,,0.6,1,0.6,,,,,0.8,0.9,,,,,,,,,,
ENSMUSG00000000711,Rab5b,1,6,5,5,4,2,5,3,5,2,5,4,6,5,4,3,5,5,6,2,,5,4,2,8,2,3,2,1,,5,3,3,2,5
ENSMUSG00000000724,Cryba1,,,,,,,,,,,,,1537,,,,,,,,,,,,,,,,,,,,,,
ENSMUSG00000000732,Icosl,96,10,7,8,7,5,2,6,2,5,3,13,7,6,6,5,14,4,2,15,3,2,1,5,5,20,16,7,,8,7,6,6,7,4
ENSMUSG00000000738,Spg7,27,31,49,32,67,36,28,44,23,20,22,57,40,28,42,50,26,25,26,25,23,23,58,41,25,28,46,38,102,28,50,26,23,17,34
ENSMUSG00000000739,Sult5a1,1,8,5,0.9,,,,,,,,19,2,1,,,8,,,4,4,1,8,13,,,,,,2,3,3,4,1,3
ENSMUSG00000000740,Rpl13,3,4,2,2,2,,3,3,3,3,5,9,2,4,0.7,2,3,3,3,3,1,4,5,6,2,4,8,2,8,3,4,3,5,6,4
ENSMUSG00000000743,Chmp1a,22,20,14,17,43,13,21,38,17,22,14,27,28,22,80,40,17,15,19,18,9,23,32,28,17,17,28,27,39,12,27,25,27,40,23
ENSMUSG00000000751,Rpa1,88,34,32,74,35,48,28,29,34,24,32,21,53,34,17,24,40,39,15,40,17,31,43,28,45,108,29,28,411,85,40,55,31,26,32
ENSMUSG00000000753,Serpinf1,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.6,
ENSMUSG00000000759,Tubgcp3,32,19,22,37,11,22,23,16,26,20,24,17,12,23,11,13,25,22,23,25,27,26,22,19,20,31,11,25,6,27,15,21,22,21,23
ENSMUSG00000000766,Oprm1,,,,,,,0.7,,3,0.5,3,,,,,,,4,2,,,,,,4,,,,,,,,,,
ENSMUSG00000000776,Polr3d,3,3,2,2,4,3,2,4,2,1,4,3,2,2,2,1,4,3,3,5,13,12,2,8,3,4,4,4,3,3,2,3,3,6,3
ENSMUSG00000000782,Tcf7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,0.5
ENSMUSG00000000787,Ddx3x,84,37,57,28,48,29,27,32,24,19,31,23,36,30,40,30,32,27,37,38,42,28,30,74,37,22,19,34,7,36,37,28,30,40,42
ENSMUSG00000000791,Il12rb1,3,,,,,,,1,0.5,,0.5,,,,2,,0.8,0.6,,,,,,,0.6,0.6,,0.6,,6,,,,,0.5
ENSMUSG00000000792,Slc5a5,,,,,11,2,2,,1,1,0.6,,1,2,,,,4,4,,,,2,5,0.7,,258,7,0.6,,,0.8,,,6
ENSMUSG00000000794,Kcnn3,,1,0.8,,0.9,1,5,1,6,16,13,,,5,,2,3,4,6,2,2,6,1,1,4,,2,,,,2,6,6,1,1
ENSMUSG00000000804,Usp32,7,8,5,15,9,11,10,6,11,12,12,4,10,11,10,5,8,12,9,6,5,9,5,9,13,15,5,5,20,3,7,6,7,7,10
ENSMUSG00000000805,Car4,1,1,9,,129,77,14,71,6,7,17,34,70,20,17,70,48,9,5,1,3,,,2,5,,5,0.6,,,5,,,,
ENSMUSG00000000811,Txnrd3,,2,4,,2,,,2,1,,,2,1,,1,0.8,3,1,3,4,1,0.7,2,4,3,1,2,1,37,1,1,2,2,4,1
ENSMUSG00000000817,Fasl,0.8,,,,,,,,,,,,,,1,,0.7,,,,,,,,,,,,,,,,,,
ENSMUSG00000000823,Zfp512b,4,8,5,3,0.9,6,9,3,6,7,5,4,6,9,0.8,0.9,4,3,8,10,5,5,7,6,4,3,3,4,23,6,6,5,7,6,8
ENSMUSG00000000826,Dnajc5,9,13,13,9,19,37,43,8,49,45,42,14,17,41,10,7,11,45,46,13,15,13,10,11,42,9,11,11,11,12,12,11,8,10,11
ENSMUSG00000000827,Tpd52l2,57,87,72,42,45,58,66,55,83,77,64,68,49,70,34,30,81,109,48,67,44,81,77,54,88,52,76,61,36,56,58,78,60,68,64
ENSMUSG00000000838,Fmr1,5,2,4,2,2,5,4,3,3,4,3,2,3,3,4,3,3,3,3,2,5,3,3,5,3,3,2,2,2,3,2,2,3,2,2
ENSMUSG00000000861,Bcl11a,8,,,1,,,2,,1,3,0.7,,,3,,,,1,4,,,,,,0.7,3,0.5,,,,0.5,,,,
ENSMUSG00000000869,Il4,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSMUSG00000000876,Pxmp4,15,20,44,21,29,10,13,21,10,11,12,18,122,10,37,58,21,12,12,13,16,7,13,37,14,14,51,19,5,30,22,26,13,10,12
ENSMUSG00000000881,Dlg3,,,,,,4,0.7,,2,2,2,,0.6,3,,,0.6,2,1,,,1,,,2,,1,,0.6,,,,,,
ENSMUSG00000000884,Gnb1l,4,3,2,4,2,4,4,3,5,1,3,6,3,4,2,6,3,4,9,7,4,7,2,5,3,4,3,6,9,11,3,4,6,4,3
ENSMUSG00000000901,Mmp11,1,7,3,,,1,0.9,1,2,0.9,0.8,2,1,2,,1,20,2,1,75,,2,1,8,2,,6,2,,0.9,3,6,93,60,
ENSMUSG00000000902,Smarcb1,21,31,24,30,23,38,39,24,41,41,37,26,26,37,18,27,27,36,40,43,13,34,19,24,33,31,23,19,50,31,23,26,36,33,16
ENSMUSG00000000903,Vpreb3,,,,,,,,,,,,,,,,,4,,,2,,,,,,,,,,,,,,,
ENSMUSG00000000915,Hip1r,5,2,2,4,4,7,8,3,6,7,7,10,3,6,4,2,9,8,6,5,9,7,8,2,6,3,5,4,9,1,5,7,4,8,9
ENSMUSG00000000916,Nsun5,6,4,6,6,4,9,5,4,7,5,5,6,7,5,3,7,6,6,8,5,13,6,5,6,4,7,9,4,5,8,7,7,5,6,6
ENSMUSG00000000934,Top1mt,8,13,17,9,7,14,19,6,22,25,24,9,14,22,5,8,7,20,16,15,12,19,11,15,20,7,13,9,12,5,10,18,13,18,13
ENSMUSG00000000938,Hoxa10,,,,,,,,,,,,,,,,,,,,0.7,,,0.9,,,,,,,,,5,10,0.8,0.8
ENSMUSG00000000957,Mmp14,4,1,1,3,,,,0.8,0.6,0.5,,2,1,,,1,,0.5,,5,1,,0.7,11,1,1,1,0.6,,2,2,5,14,6,
ENSMUSG00000000958,Slc7a7,2,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSMUSG00000000959,Oxa1l,25,65,80,47,22,52,44,62,51,44,47,72,82,44,43,75,38,46,60,60,76,40,74,31,47,43,55,57,31,36,73,57,65,44,81
ENSMUSG00000000976,Heatr6,15,4,4,4,,6,4,5,4,3,2,1,4,6,11,9,6,5,7,7,1,4,4,6,4,6,4,3,5,3,4,5,5,7,5
ENSMUSG00000000982,Ccl3,11,8,1,7,2,0.9,0.9,1,,1,,0.8,2,1,3,2,9,1,0.6,3,,,0.9,0.5,2,4,2,5,,2,,0.8,6,14,5
ENSMUSG00000000983,Wfdc18,,,,,,,,3,,,,0.9,6,,,,,,,9,,,,2,,,4,193,,7,275,,2,47,
ENSMUSG00000001014,Icam4,,,,4,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,
ENSMUSG00000001016,Ilf2,51,48,34,73,52,105,105,48,118,100,104,85,57,103,12,51,60,112,97,74,31,96,42,51,93,79,50,44,191,118,42,48,57,55,48
ENSMUSG00000001017,Chtop,23,15,12,11,11,20,22,17,25,17,27,12,23,20,17,13,21,19,29,16,17,24,14,21,27,19,18,14,60,20,17,15,15,18,14
ENSMUSG00000001018,Snapin,2,0.9,3,0.9,,,,1,,,,2,3,0.6,4,0.5,3,,,2,1,2,2,2,,3,2,4,12,0.9,4,3,3,3,1
ENSMUSG00000001020,S100a4,29,5,9,11,6,,0.5,1,,0.9,,2,6,,,0.5,23,,,13,8,0.7,17,37,0.7,17,10,8,0.6,7,22,15,4,15,6
ENSMUSG00000001021,S100a3,,,,,,,,,,,,,,,,,,,,,,,,79,,,,,,,,,,,
ENSMUSG00000001023,S100a5,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,2,,,
ENSMUSG00000001025,S100a6,2,,2,2,,,2,0.5,1,0.5,1,0.5,,1,,0.5,3,0.8,0.6,0.9,,,2,3,1,4,,2,,0.9,1,9,2,3,0.5
ENSMUSG00000001029,Icam2,125,1,3,19,2,,,2,,,,,,,1,0.8,8,,,0.7,1,,,,,19,,2,,76,0.5,1,,,0.5
ENSMUSG00000001034,Mapk7,6,7,6,11,7,24,11,6,8,12,9,5,4,14,4,4,9,7,7,16,8,6,5,9,9,5,7,4,6,11,7,12,14,6,9
ENSMUSG00000001036,Epn2,10,27,48,5,32,134,98,12,76,110,97,28,39,127,4,12,84,85,74,39,12,31,22,56,93,10,32,36,56,6,39,61,34,28,30
ENSMUSG00000001039,B9d1,0.8,9,4,0.9,6,19,22,3,19,22,22,19,7,20,,3,14,14,15,17,5,30,10,6,15,2,11,12,318,4,13,13,15,10,14
ENSMUSG00000001052,Sec24b,0.5,0.5,0.9,,,0.9,0.5,,1,0.5,0.7,,,0.5,,,,0.9,0.8,0.8,0.7,0.9,,0.6,0.6,,0.5,,1,,0.5,,0.5,,0.5
ENSMUSG00000001053,N4bp3,1,1,2,2,,1,1,1,1,1,1,2,2,2,,,6,1,,3,0.7,1,2,6,0.5,2,2,1,2,3,4,1,4,4,2
ENSMUSG00000001054,Rmnd5b,5,6,2,0.9,7,2,4,3,2,5,3,11,9,6,3,4,4,0.6,1,12,4,3,3,9,1,2,7,2,9,4,6,3,14,8,6
ENSMUSG00000001056,Nhp2,25,26,21,41,30,20,28,38,19,38,27,61,24,28,7,50,20,19,15,44,42,10,55,59,14,58,33,19,41,23,54,30,41,69,35
ENSMUSG00000001062,Vps9d1,7,16,9,5,6,17,21,10,22,23,23,5,10,22,18,9,8,19,12,9,9,15,11,12,17,5,11,19,11,3,19,10,6,11,14
ENSMUSG00000001065,Zfp276,3,3,2,6,,4,2,3,4,4,3,6,1,3,4,2,3,4,2,2,2,2,2,2,5,2,4,2,0.8,2,3,2,3,2,2
ENSMUSG00000001082,Mfsd10,3,0.7,1,2,,1,0.5,2,1,0.9,1,1,,0.8,3,0.5,,0.5,,2,1,0.7,6,0.7,0.7,5,1,1,,2,0.9,1,1,0.9,6
ENSMUSG00000001089,Luzp1,14,10,21,4,35,25,19,32,25,16,21,9,6,20,56,27,23,35,19,11,16,6,6,41,38,3,6,11,193,4,15,17,17,15,10
ENSMUSG00000001095,Slc13a2,,,,,177,,,236,,,,4,3,,60,203,0.7,,,0.6,,,,,,,,2,0.6,,,,,3,6
ENSMUSG00000001098,Kctd10,1,2,1,,2,1,2,1,1,2,2,,0.8,2,0.8,2,2,2,1,2,0.7,1,0.8,1,1,0.9,2,1,4,1,0.8,4,1,0.9,2
ENSMUSG00000001100,Poldip2,,,,,,,0.7,,0.7,0.5,,,,,0.7,,,0.5,,,,,,,,,,,7,,0.9,,,,0.5
ENSMUSG00000001103,Sebox,,,,,,0.6,0.7,,0.6,,,,3,0.6,,,,,,,,,,2,,,,,,,,,,,
ENSMUSG00000001105,Ift20,97,96,84,57,97,65,84,149,70,68,79,194,114,81,277,184,101,71,72,80,463,145,405,115,79,68,216,269,212,61,96,85,92,98,253
ENSMUSG00000001119,Col6a1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
ENSMUSG00000001120,Pcbp3,,,,,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,
